Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
478399,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
478533,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
478675,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
478809,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
478938,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
479061,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
526665,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
526912,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
527047,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
527183,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
527318,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
527453,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
527589,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
527712,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
530644,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
530768,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
530891,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
531014,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
531137,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
531261,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
531385,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
531508,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
578660,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
578917,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
579052,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
579185,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
579321,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
579457,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
579579,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
579704,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
579828,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
579951,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
580074,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
580197,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
580320,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
580444,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
580567,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
580694,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
628647,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
628788,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
628922,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
629055,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
640721,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
640845,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
640967,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
641090,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
641213,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
641336,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
641459,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
641581,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
641705,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
641833,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
641984,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
642128,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
678987,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
679219,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
679354,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
679489,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
679624,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
679751,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
679873,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
679996,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
680118,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
680241,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
680364,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
680487,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
680615,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
680738,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
680861,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
680984,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
728662,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
728899,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
729023,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
729152,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
729277,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
729412,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
729549,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
729685,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
729822,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
729957,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
730092,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
730226,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
730351,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
730475,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
730616,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
730740,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
778684,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
778948,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
779096,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
779230,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
779382,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
779528,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
779675,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
779815,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
779956,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
780106,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
780258,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
